Gene	PFAM.domains
HEP_00305400	NA
HEP_00064500	Pfam:PF00400.32(WD40)
HEP_00388100	Pfam:PF03109.16(ABC1)
HEP_00189800	Pfam:PF07774.13(EMC1_C)
HEP_00406500	NA
HEP_00408300	NA
HEP_00176600	Pfam:PF12799.7(LRR_4),Pfam:PF13855.6(LRR_8),Pfam:PF14580.6(LRR_9)
HEP_00398500	Pfam:PF00443.29(UCH)
HEP_00022000	Pfam:PF03129.20(HGTP_anticodon),Pfam:PF13393.6(tRNA-synt_His)
HEP_00008300	NA
HEP_00112700	Pfam:PF03006.20(HlyIII)
HEP_00355600	Pfam:PF12872.7(OST-HTH)
HEP_00182300	Pfam:PF03381.15(CDC50)
HEP_00138100	NA
HEP_00326100	Pfam:PF12799.7(LRR_4),Pfam:PF13855.6(LRR_8)
HEP_00306800	NA
HEP_00035300	Pfam:PF05018.13(DUF667)
HEP_00355800	Pfam:PF00076.22(RRM_1),Pfam:PF12220.8(U1snRNP70_N)
HEP_00071600	NA
HEP_00124800	NA
HEP_00243300	Pfam:PF03099.19(BPL_LplA_LipB)
HEP_00471400	NA
HEP_00312700	Pfam:PF01782.18(RimM)
HEP_00100400	Pfam:PF00063.21(Myosin_head)
HEP_00277500	NA
HEP_00403400	Pfam:PF02714.15(RSN1_7TM)
HEP_00395600	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C)
HEP_00468900	Pfam:PF02121.18(IP_trans),Pfam:PF00169.29(PH)
HEP_00343300	Pfam:PF02940.15(mRNA_triPase)
HEP_00257600	Pfam:PF08514.11(STAG)
HEP_00262200	NA
HEP_00068400	NA
HEP_00127800	Pfam:PF00225.23(Kinesin),Pfam:PF16796.5(Microtub_bd)
HEP_00220100	Pfam:PF00270.29(DEAD),Pfam:PF08148.12(DSHCT),Pfam:PF00271.31(Helicase_C)
HEP_00285200	Pfam:PF00454.27(PI3_PI4_kinase)
HEP_00494900	Pfam:PF18161.1(ISP1_C),Pfam:PF18045.1(ISP3_C)
HEP_00281900	NA
HEP_00196400	Pfam:PF03645.13(Tctex-1)
HEP_00465800	Pfam:PF12157.8(DUF3591)
HEP_00285100	NA
HEP_00151600	NA
HEP_00389100	Pfam:PF10294.9(Methyltransf_16),Pfam:PF13489.6(Methyltransf_23)
HEP_00181200	Pfam:PF01230.23(HIT)
HEP_00004900	Pfam:PF16531.5(SAS-6_N)
HEP_00449000	Pfam:PF08241.12(Methyltransf_11),Pfam:PF08242.12(Methyltransf_12),Pfam:PF13489.6(Methyltransf_23),Pfam:PF13649.6(Methyltransf_25),Pfam:PF13847.6(Methyltransf_31)
HEP_00226100	Pfam:PF01189.17(Methyltr_RsmB-F)
HEP_00362300	Pfam:PF02421.18(FeoB_N),Pfam:PF00009.27(GTP_EFTU),Pfam:PF01926.23(MMR_HSR1)
HEP_00219100	Pfam:PF02421.18(FeoB_N),Pfam:PF01926.23(MMR_HSR1),Pfam:PF03193.16(RsgA_GTPase)
HEP_00078800	NA
HEP_00461200	Pfam:PF02033.18(RBFA)
HEP_00260100	Pfam:PF12895.7(ANAPC3),Pfam:PF12569.8(NARP1),Pfam:PF07719.17(TPR_2)
HEP_00006700	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C)
HEP_00160000	Pfam:PF14237.6(GYF_2),Pfam:PF00076.22(RRM_1)
HEP_00048900	NA
HEP_00045800	Pfam:PF06966.12(DUF1295),Pfam:PF02544.16(Steroid_dh)
HEP_00301500	Pfam:PF08645.11(PNK3P)
HEP_00272300	Pfam:PF01238.21(PMI_typeI)
HEP_00298800	Pfam:PF04194.13(PDCD2_C)
HEP_00171000	NA
HEP_00175800	NA
HEP_00176800	Pfam:PF01344.25(Kelch_1),Pfam:PF07646.15(Kelch_2),Pfam:PF13418.6(Kelch_4),Pfam:PF13854.6(Kelch_5),Pfam:PF13964.6(Kelch_6)
HEP_00248800	Pfam:PF05063.14(MT-A70)
HEP_00090600	Pfam:PF01734.22(Patatin)
HEP_00320400	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C)
HEP_00086800	NA
HEP_00439000	NA
HEP_00495600	Pfam:PF00145.17(DNA_methylase)
HEP_00347300	NA
HEP_00182600	NA
HEP_00268600	Pfam:PF01585.23(G-patch),Pfam:PF00076.22(RRM_1)
HEP_00157600	Pfam:PF00383.23(dCMP_cyt_deam_1)
HEP_00050800	Pfam:PF01412.18(ArfGap)
HEP_00349400	NA
HEP_00383100	Pfam:PF01379.20(Porphobil_deam),Pfam:PF03900.15(Porphobil_deamC)
HEP_00192900	Pfam:PF02265.16(S1-P1_nuclease)
HEP_00354600	Pfam:PF09359.10(VTC)
HEP_00287000	Pfam:PF02096.20(60KD_IMP)
HEP_00068000	Pfam:PF00268.21(Ribonuc_red_sm)
HEP_00214600	Pfam:PF00432.21(Prenyltrans)
HEP_00095100	NA
HEP_00442400	Pfam:PF18741.1(MTES_1575),Pfam:PF08373.10(RAP)
HEP_00020500	Pfam:PF00133.22(tRNA-synt_1),Pfam:PF01406.19(tRNA-synt_1e),Pfam:PF01921.18(tRNA-synt_1f),Pfam:PF09334.11(tRNA-synt_1g)
HEP_00029700	Pfam:PF12246.8(MKT1_C),Pfam:PF12247.8(MKT1_N)
HEP_00399600	Pfam:PF03343.13(SART-1)
HEP_00048700	NA
HEP_00239400	Pfam:PF00106.25(adh_short),Pfam:PF13561.6(adh_short_C2)
HEP_00330600	NA
HEP_00414900	Pfam:PF07992.14(Pyr_redox_2)
HEP_00214950	Pfam:PF07019.12(Rab5ip)
HEP_00368000	Pfam:PF13245.6(AAA_19),Pfam:PF00580.21(UvrD-helicase),Pfam:PF13361.6(UvrD_C),Pfam:PF13538.6(UvrD_C_2)
HEP_00319500	NA
HEP_00015700	Pfam:PF14531.6(Kinase-like),Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00495700	Pfam:PF12799.7(LRR_4),Pfam:PF14580.6(LRR_9)
HEP_00200000	Pfam:PF02493.20(MORN)
HEP_00293100	Pfam:PF02996.17(Prefoldin)
HEP_00213700	NA
HEP_00037300	Pfam:PF00889.19(EF_TS)
HEP_00224500	Pfam:PF12894.7(ANAPC4_WD40),Pfam:PF08154.12(NLE),Pfam:PF00400.32(WD40)
HEP_00238500	Pfam:PF18591.1(IMP2_C),Pfam:PF18590.1(IMP2_N)
HEP_00292800	Pfam:PF04801.13(Sin_N)
HEP_00167100	NA
HEP_00262500	NA
HEP_00263900	Pfam:PF10175.9(MPP6)
HEP_00232300	Pfam:PF01066.21(CDP-OH_P_transf)
HEP_00416200	Pfam:PF01509.18(TruB_N)
HEP_00376600	Pfam:PF00595.24(PDZ),Pfam:PF13180.6(PDZ_2),Pfam:PF17820.1(PDZ_6),Pfam:PF13365.6(Trypsin_2)
HEP_00420500	Pfam:PF00612.27(IQ),Pfam:PF00063.21(Myosin_head),Pfam:PF02736.19(Myosin_N)
HEP_00177600	NA
HEP_00515800	Pfam:PF09229.11(Aha1_N)
HEP_00328700	NA
HEP_00280300	NA
HEP_00331600	NA
HEP_00040000	Pfam:PF00173.28(Cyt-b5)
HEP_00419500	Pfam:PF00294.24(PfkB),Pfam:PF08543.12(Phos_pyr_kin)
HEP_00356100	Pfam:PF01172.18(SBDS),Pfam:PF09377.10(SBDS_C)
HEP_00521600	Pfam:PF01088.21(Peptidase_C12)
HEP_00341500	Pfam:PF03256.16(ANAPC10)
HEP_00204900	Pfam:PF05622.12(HOOK)
HEP_00166300	Pfam:PF00348.17(polyprenyl_synt)
HEP_00265800	Pfam:PF09742.9(Dymeclin),Pfam:PF12722.7(Hid1)
HEP_00121100	NA
HEP_00403200	Pfam:PF00225.23(Kinesin)
HEP_00051800	Pfam:PF00122.20(E1-E2_ATPase),Pfam:PF00211.20(Guanylate_cyc),Pfam:PF00702.26(Hydrolase),Pfam:PF16212.5(PhoLip_ATPase_C),Pfam:PF16209.5(PhoLip_ATPase_N)
HEP_00122800	Pfam:PF00071.22(Ras),Pfam:PF08477.13(Roc)
HEP_00089700	Pfam:PF05131.14(Pep3_Vps18)
HEP_00070900	Pfam:PF03031.18(NIF)
HEP_00035600	Pfam:PF00436.25(SSB)
HEP_00084700	Pfam:PF02410.15(RsfS)
HEP_00424100	Pfam:PF01227.22(GTP_cyclohydroI)
HEP_00049100	Pfam:PF06733.15(DEAD_2),Pfam:PF13307.6(Helicase_C_2)
HEP_00214900	Pfam:PF00132.24(Hexapep)
HEP_00163700	Pfam:PF00491.21(Arginase)
HEP_00355300	Pfam:PF14447.6(Prok-RING_4),Pfam:PF00097.25(zf-C3HC4),Pfam:PF13923.6(zf-C3HC4_2),Pfam:PF13920.6(zf-C3HC4_3),Pfam:PF15227.6(zf-C3HC4_4),Pfam:PF13639.6(zf-RING_2),Pfam:PF14634.6(zf-RING_5),Pfam:PF13445.6(zf-RING_UBOX)
HEP_00466600	NA
HEP_00289800	NA
HEP_00382100	Pfam:PF00270.29(DEAD),Pfam:PF13959.6(DUF4217),Pfam:PF00271.31(Helicase_C)
HEP_00057600	Pfam:PF03031.18(NIF)
HEP_00294400	Pfam:PF01391.18(Collagen),Pfam:PF00999.21(Na_H_Exchanger)
HEP_00270200	NA
HEP_00498300	Pfam:PF06423.12(GWT1)
HEP_00059700	Pfam:PF01795.19(Methyltransf_5)
HEP_00234400	Pfam:PF09360.10(zf-CDGSH)
HEP_00325100	NA
HEP_00191200	Pfam:PF04384.13(Fe-S_assembly)
HEP_00080400	NA
HEP_00185000	Pfam:PF00036.32(EF-hand_1),Pfam:PF13405.6(EF-hand_6),Pfam:PF13499.6(EF-hand_7)
HEP_00239300	Pfam:PF01105.24(EMP24_GP25L)
HEP_00490400	Pfam:PF00578.21(AhpC-TSA),Pfam:PF08534.10(Redoxin)
HEP_00086000	Pfam:PF00175.21(NAD_binding_1)
HEP_00491500	NA
HEP_00070700	NA
HEP_00302900	NA
HEP_00251500	NA
HEP_00435700	Pfam:PF01937.19(DUF89)
HEP_00344100	NA
HEP_00346900	NA
HEP_00232800	NA
HEP_00377600	Pfam:PF07808.13(RED_N)
HEP_00478100	Pfam:PF00635.26(Motile_Sperm)
HEP_00104400	NA
HEP_00136500	Pfam:PF00588.19(SpoU_methylase)
HEP_00122100	Pfam:PF01226.17(Form_Nir_trans)
HEP_00445700	NA
HEP_00269900	NA
HEP_00074400	NA
HEP_00359600	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C)
HEP_00161500	Pfam:PF02536.14(mTERF)
HEP_00389400	NA
HEP_00339000	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C)
HEP_00059400	Pfam:PF08033.12(Sec23_BS),Pfam:PF04815.15(Sec23_helical),Pfam:PF04811.15(Sec23_trunk)
HEP_00254100	Pfam:PF04900.12(Fcf1)
HEP_00434700	NA
HEP_00137100	Pfam:PF03630.14(Fumble)
HEP_00319400	NA
HEP_00235900	Pfam:PF13207.6(AAA_17)
HEP_00275600	Pfam:PF03661.13(UPF0121)
HEP_00443900	NA
HEP_00365800	Pfam:PF00579.25(tRNA-synt_1b)
HEP_00274500	NA
HEP_00153500	Pfam:PF00664.23(ABC_membrane),Pfam:PF00005.27(ABC_tran)
HEP_00000400	NA
HEP_00260200	Pfam:PF03849.14(Tfb2),Pfam:PF18307.1(Tfb2_C)
HEP_00471900	Pfam:PF00400.32(WD40)
HEP_00474600	NA
HEP_00284800	Pfam:PF09329.11(zf-primase)
HEP_00223800	Pfam:PF04084.14(ORC2)
HEP_00083700	Pfam:PF00004.29(AAA),Pfam:PF13191.6(AAA_16),Pfam:PF13401.6(AAA_22),Pfam:PF13671.6(AAA_33),Pfam:PF07728.14(AAA_5),Pfam:PF17862.1(AAA_lid_3),Pfam:PF01695.17(IstB_IS21),Pfam:PF05729.12(NACHT),Pfam:PF05496.12(RuvB_N),Pfam:PF02367.17(TsaE)
HEP_00039700	Pfam:PF01409.20(tRNA-synt_2d)
HEP_00145300	NA
HEP_00125100	Pfam:PF00023.30(Ank),Pfam:PF12796.7(Ank_2),Pfam:PF13606.6(Ank_3),Pfam:PF13637.6(Ank_4),Pfam:PF13857.6(Ank_5)
HEP_00208700	Pfam:PF04278.12(Tic22)
HEP_00071400	Pfam:PF00136.21(DNA_pol_B),Pfam:PF03104.19(DNA_pol_B_exo1)
HEP_00500300	NA
HEP_00138600	Pfam:PF03153.13(TFIIA),Pfam:PF08755.11(YccV-like)
HEP_00326700	Pfam:PF03091.15(CutA1)
HEP_00383500	Pfam:PF12799.7(LRR_4),Pfam:PF13855.6(LRR_8),Pfam:PF14580.6(LRR_9)
HEP_00496000	NA
HEP_00171600	Pfam:PF12796.7(Ank_2),Pfam:PF13606.6(Ank_3),Pfam:PF13637.6(Ank_4),Pfam:PF10294.9(Methyltransf_16)
HEP_00453000	Pfam:PF00169.29(PH)
HEP_00095000	Pfam:PF01725.16(Ham1p_like)
HEP_00116600	Pfam:PF01636.23(APH),Pfam:PF01633.20(Choline_kinase)
HEP_00111100	NA
HEP_00243200	NA
HEP_00018000	Pfam:PF13664.6(DUF4149)
HEP_00390700	Pfam:PF15001.6(AP-5_subunit_s1)
HEP_00259800	Pfam:PF00679.24(EFG_C),Pfam:PF00009.27(GTP_EFTU),Pfam:PF03144.25(GTP_EFTU_D2),Pfam:PF06421.12(LepA_C),Pfam:PF01926.23(MMR_HSR1)
HEP_00403800	NA
HEP_00300000	Pfam:PF00847.20(AP2)
HEP_00186500	Pfam:PF04130.13(GCP_C_terminal),Pfam:PF17681.1(GCP_N_terminal)
HEP_00141600	Pfam:PF13367.6(PrsW-protease)
HEP_00091500	Pfam:PF01571.21(GCV_T),Pfam:PF08669.11(GCV_T_C)
HEP_00016700	NA
HEP_00098500	Pfam:PF01142.18(TruD)
HEP_00291100	Pfam:PF07977.13(FabA)
HEP_00365300	Pfam:PF01926.23(MMR_HSR1)
HEP_00074800	Pfam:PF00258.25(Flavodoxin_1)
HEP_00086600	NA
HEP_00166000	Pfam:PF00179.26(UQ_con)
HEP_00446300	NA
HEP_00336500	NA
HEP_00182900	NA
HEP_00272100	Pfam:PF04563.15(RNA_pol_Rpb2_1),Pfam:PF04565.16(RNA_pol_Rpb2_3),Pfam:PF00562.28(RNA_pol_Rpb2_6),Pfam:PF04560.20(RNA_pol_Rpb2_7)
HEP_00107600	Pfam:PF02037.27(SAP)
HEP_00295200	Pfam:PF12706.7(Lactamase_B_2),Pfam:PF13483.6(Lactamase_B_3)
HEP_00443000	NA
HEP_00341700	NA
HEP_00004200	Pfam:PF00462.24(Glutaredoxin)
HEP_00120600	Pfam:PF03969.16(AFG1_ATPase)
HEP_00216400	Pfam:PF09717.10(CPW_WPC)
HEP_00225200	NA
HEP_00494700	NA
HEP_00451000	Pfam:PF01214.18(CK_II_beta)
HEP_00179000	Pfam:PF01529.20(DHHC)
HEP_00077800	Pfam:PF00487.24(FA_desaturase)
HEP_00290500	Pfam:PF01778.17(Ribosomal_L28e)
HEP_00327100	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C)
HEP_00135700	NA
HEP_00042900	Pfam:PF01217.20(Clat_adaptor_s)
HEP_00200950	Pfam:PF00612.27(IQ)
HEP_00064900	Pfam:PF07035.12(Mic1)
HEP_00362400	Pfam:PF08661.11(Rep_fac-A_3)
HEP_00118000	Pfam:PF00225.23(Kinesin),Pfam:PF16796.5(Microtub_bd)
HEP_00026000	Pfam:PF10996.8(Beta-Casp),Pfam:PF00753.27(Lactamase_B),Pfam:PF12706.7(Lactamase_B_2),Pfam:PF16661.5(Lactamase_B_6),Pfam:PF07521.12(RMMBL)
HEP_00282000	Pfam:PF00152.20(tRNA-synt_2),Pfam:PF01336.25(tRNA_anti-codon)
HEP_00233400	Pfam:PF03371.15(PRP38)
HEP_00010800	Pfam:PF01467.26(CTP_transf_like)
HEP_00197400	NA
HEP_00069500	NA
HEP_00484100	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C),Pfam:PF04851.15(ResIII)
HEP_00068500	NA
HEP_00241000	Pfam:PF00026.23(Asp),Pfam:PF14543.6(TAXi_N)
HEP_00326900	NA
HEP_00294900	Pfam:PF01256.17(Carb_kinase)
HEP_00174100	Pfam:PF00152.20(tRNA-synt_2)
HEP_00376100	Pfam:PF04515.12(Choline_transpo)
HEP_00328600	NA
HEP_00214500	Pfam:PF00856.28(SET)
HEP_00210400	NA
HEP_00311700	Pfam:PF00587.25(tRNA-synt_2b)
HEP_00350700	NA
HEP_00277600	Pfam:PF04998.17(RNA_pol_Rpb1_5)
HEP_00150100	Pfam:PF01288.20(HPPK),Pfam:PF00809.22(Pterin_bind)
HEP_00066900	Pfam:PF01490.18(Aa_trans)
HEP_00366500	Pfam:PF00753.27(Lactamase_B),Pfam:PF12706.7(Lactamase_B_2)
HEP_00013400	Pfam:PF00850.19(Hist_deacetyl)
HEP_00075300	NA
HEP_00252200	NA
HEP_00195600	Pfam:PF00398.20(RrnaAD)
HEP_00340100	Pfam:PF00501.28(AMP-binding)
HEP_00450400	Pfam:PF01088.21(Peptidase_C12)
HEP_00332700	NA
HEP_00381600	Pfam:PF10192.9(GpcrRhopsn4)
HEP_00473100	NA
HEP_00172600	Pfam:PF03099.19(BPL_LplA_LipB)
HEP_00019400	Pfam:PF04113.14(Gpi16)
HEP_00254300	Pfam:PF01704.18(UDPGP)
HEP_00514200	Pfam:PF02383.18(Syja_N)
HEP_00108400	Pfam:PF13923.6(zf-C3HC4_2),Pfam:PF12678.7(zf-rbx1),Pfam:PF17123.5(zf-RING_11),Pfam:PF13639.6(zf-RING_2),Pfam:PF14634.6(zf-RING_5)
HEP_00094900	NA
HEP_00196800	NA
HEP_00301000	Pfam:PF00970.24(FAD_binding_6),Pfam:PF00175.21(NAD_binding_1),Pfam:PF08030.12(NAD_binding_6)
HEP_00162900	NA
HEP_00339800	Pfam:PF07690.16(MFS_1)
HEP_00416600	Pfam:PF08241.12(Methyltransf_11),Pfam:PF05148.15(Methyltransf_8),Pfam:PF01209.18(Ubie_methyltran)
HEP_00408700	Pfam:PF04969.16(CS),Pfam:PF14050.6(Nudc_N)
HEP_00047000	Pfam:PF01302.25(CAP_GLY)
HEP_00026700	Pfam:PF01008.17(IF-2B)
HEP_00494100	Pfam:PF00454.27(PI3_PI4_kinase)
HEP_00068300	Pfam:PF10561.9(UPF0565)
HEP_00270500	Pfam:PF03167.19(UDG)
HEP_00378800	Pfam:PF03178.15(CPSF_A)
HEP_00094400	Pfam:PF00847.20(AP2)
HEP_00296400	Pfam:PF00650.20(CRAL_TRIO),Pfam:PF13716.6(CRAL_TRIO_2),Pfam:PF00620.27(RhoGAP)
HEP_00054300	NA
HEP_00096900	NA
HEP_00368400	NA
HEP_00060300	Pfam:PF08553.10(VID27)
HEP_00273200	Pfam:PF01612.20(DNA_pol_A_exo1)
HEP_00432300	Pfam:PF17832.1(Pre-PUA),Pfam:PF01253.22(SUI1)
HEP_00045100	Pfam:PF01602.20(Adaptin_N)
HEP_00201800	Pfam:PF00226.31(DnaJ)
HEP_00391900	NA
HEP_00052600	Pfam:PF00070.27(Pyr_redox),Pfam:PF07992.14(Pyr_redox_2),Pfam:PF02852.22(Pyr_redox_dim)
HEP_00143500	Pfam:PF07690.16(MFS_1)
HEP_00275300	Pfam:PF02475.16(Met_10)
HEP_00263400	NA
HEP_00386300	Pfam:PF03372.23(Exo_endo_phos)
HEP_00396200	Pfam:PF11831.8(Myb_Cef),Pfam:PF00249.31(Myb_DNA-binding),Pfam:PF13921.6(Myb_DNA-bind_6)
HEP_00325200	NA
HEP_00511100	NA
HEP_00142000	Pfam:PF02934.15(GatB_N),Pfam:PF02637.18(GatB_Yqey)
HEP_00076600	Pfam:PF01428.16(zf-AN1)
HEP_00164800	Pfam:PF03874.16(RNA_pol_Rpb4)
HEP_00432100	Pfam:PF02401.18(LYTB)
HEP_00290400	NA
HEP_00110600	Pfam:PF01137.21(RTC)
HEP_00274100	Pfam:PF12931.7(Sec16_C)
HEP_00310100	Pfam:PF04161.13(Arv1)
HEP_00327500	NA
HEP_00173400	NA
HEP_00241800	Pfam:PF12352.8(V-SNARE_C)
HEP_00386700	Pfam:PF00082.22(Peptidase_S8),Pfam:PF18213.1(SUB1_ProdP9)
HEP_00471600	Pfam:PF00097.25(zf-C3HC4),Pfam:PF13923.6(zf-C3HC4_2),Pfam:PF12678.7(zf-rbx1),Pfam:PF17123.5(zf-RING_11),Pfam:PF13639.6(zf-RING_2)
HEP_00447700	Pfam:PF14655.6(RAB3GAP2_N)
HEP_00473700	Pfam:PF00501.28(AMP-binding)
HEP_00252400	NA
HEP_00003500	Pfam:PF02104.15(SURF1)
HEP_00060500	NA
HEP_00086200	Pfam:PF00892.20(EamA),Pfam:PF03151.16(TPT)
HEP_00319900	NA
HEP_00319800	NA
HEP_00081100	Pfam:PF00085.20(Thioredoxin)
HEP_00037900	Pfam:PF05186.13(Dpy-30)
HEP_00238900	Pfam:PF00149.28(Metallophos)
HEP_00436900	Pfam:PF03998.13(Utp11)
HEP_00508200	NA
HEP_00380200	Pfam:PF00085.20(Thioredoxin)
HEP_00063000	Pfam:PF01391.18(Collagen),Pfam:PF12340.8(DUF3638),Pfam:PF12359.8(DUF3645)
HEP_00500900	NA
HEP_00021400	Pfam:PF01553.21(Acyltransferase)
HEP_00167800	Pfam:PF07986.12(TBCC)
HEP_00208400	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C)
HEP_00339600	NA
HEP_00296200	Pfam:PF09767.9(DUF2053)
HEP_00375300	Pfam:PF01734.22(Patatin)
HEP_00045200	NA
HEP_00287200	Pfam:PF08264.13(Anticodon_1),Pfam:PF01391.18(Collagen),Pfam:PF00133.22(tRNA-synt_1),Pfam:PF09334.11(tRNA-synt_1g),Pfam:PF13603.6(tRNA-synt_1_2)
HEP_00130500	Pfam:PF01694.22(Rhomboid)
HEP_00492900	NA
HEP_00001100	Pfam:PF00996.18(GDI)
HEP_00442100	Pfam:PF00153.27(Mito_carr)
HEP_00149600	Pfam:PF00271.31(Helicase_C),Pfam:PF07529.13(HSA),Pfam:PF00176.23(SNF2_N)
HEP_00123400	NA
HEP_00533900	NA
HEP_00509700	Pfam:PF10075.9(CSN8_PSD8_EIF3K)
HEP_00142200	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00273100	NA
HEP_00220600	Pfam:PF01480.17(PWI),Pfam:PF00076.22(RRM_1)
HEP_00105200	NA
HEP_00114000	Pfam:PF00400.32(WD40)
HEP_00096200	Pfam:PF00501.28(AMP-binding),Pfam:PF02775.21(TPP_enzyme_C),Pfam:PF00205.22(TPP_enzyme_M),Pfam:PF02776.18(TPP_enzyme_N)
HEP_00010600	NA
HEP_00501500	Pfam:PF08711.11(Med26),Pfam:PF01096.18(TFIIS_C),Pfam:PF07500.14(TFIIS_M)
HEP_00306300	Pfam:PF00515.28(TPR_1),Pfam:PF07719.17(TPR_2),Pfam:PF13181.6(TPR_8)
HEP_00460200	Pfam:PF08318.12(COG4)
HEP_00408900	NA
HEP_00233900	NA
HEP_00159400	Pfam:PF00849.22(PseudoU_synth_2)
HEP_00513200	Pfam:PF04127.15(DFP)
HEP_00036800	Pfam:PF01018.22(GTP1_OBG),Pfam:PF01926.23(MMR_HSR1)
HEP_00398300	Pfam:PF01612.20(DNA_pol_A_exo1)
HEP_00075900	Pfam:PF15906.5(zf-NOSIP)
HEP_00022300	Pfam:PF00069.25(Pkinase)
HEP_00091600	Pfam:PF07534.16(TLD)
HEP_00042400	Pfam:PF00076.22(RRM_1)
HEP_00300200	Pfam:PF03602.15(Cons_hypoth95)
HEP_00049500	NA
HEP_00046700	Pfam:PF12895.7(ANAPC3),Pfam:PF00515.28(TPR_1),Pfam:PF13414.6(TPR_11),Pfam:PF07719.17(TPR_2),Pfam:PF04564.15(U-box)
HEP_00334100	Pfam:PF07690.16(MFS_1)
HEP_00524200	Pfam:PF00689.21(Cation_ATPase_C)
HEP_00155600	Pfam:PF10996.8(Beta-Casp),Pfam:PF11718.8(CPSF73-100_C),Pfam:PF00753.27(Lactamase_B),Pfam:PF16661.5(Lactamase_B_6),Pfam:PF07521.12(RMMBL)
HEP_00418200	Pfam:PF01218.18(Coprogen_oxidas)
HEP_00301900	Pfam:PF00650.20(CRAL_TRIO)
HEP_00509900	NA
HEP_00470100	Pfam:PF13519.6(VWA_2)
HEP_00060400	Pfam:PF04051.16(TRAPP)
HEP_00121000	NA
HEP_00279600	Pfam:PF01521.20(Fe-S_biosyn)
HEP_00023500	Pfam:PF00573.22(Ribosomal_L4)
HEP_00403100	Pfam:PF00070.27(Pyr_redox),Pfam:PF07992.14(Pyr_redox_2)
HEP_00071800	NA
HEP_00438500	Pfam:PF02138.18(Beach)
HEP_00397900	Pfam:PF04252.13(RNA_Me_trans)
HEP_00225500	NA
HEP_00200500	NA
HEP_00114400	Pfam:PF01061.24(ABC2_membrane),Pfam:PF00005.27(ABC_tran),Pfam:PF03193.16(RsgA_GTPase)
HEP_00032000	Pfam:PF12894.7(ANAPC4_WD40)
HEP_00167300	NA
HEP_00252800	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C),Pfam:PF18149.1(Helicase_PWI),Pfam:PF04851.15(ResIII),Pfam:PF02889.16(Sec63)
HEP_00065900	Pfam:PF05495.12(zf-CHY)
HEP_00234800	Pfam:PF01432.20(Peptidase_M3)
HEP_00084400	NA
HEP_00145800	Pfam:PF00515.28(TPR_1),Pfam:PF07719.17(TPR_2),Pfam:PF13181.6(TPR_8)
HEP_00089100	Pfam:PF00218.21(IGPS)
HEP_00241100	NA
HEP_00511000	NA
HEP_00472200	Pfam:PF09717.10(CPW_WPC)
HEP_00242900	Pfam:PF00254.28(FKBP_C)
HEP_00521100	NA
HEP_00169600	Pfam:PF01781.18(Ribosomal_L38e)
HEP_00189200	Pfam:PF04939.12(RRS1)
HEP_00126800	Pfam:PF11919.8(DUF3437)
HEP_00262700	Pfam:PF02421.18(FeoB_N),Pfam:PF13167.6(GTP-bdg_N),Pfam:PF01926.23(MMR_HSR1)
HEP_00125400	Pfam:PF07728.14(AAA_5),Pfam:PF12774.7(AAA_6),Pfam:PF12775.7(AAA_7),Pfam:PF18198.1(AAA_lid_11),Pfam:PF08393.13(DHC_N2),Pfam:PF17852.1(Dynein_AAA_lid),Pfam:PF18199.1(Dynein_C),Pfam:PF03028.15(Dynein_heavy),Pfam:PF12777.7(MT)
HEP_00422500	Pfam:PF15863.5(EELM2),Pfam:PF00628.29(PHD)
HEP_00001300	NA
HEP_00191400	Pfam:PF00514.23(Arm)
HEP_00484600	Pfam:PF02383.18(Syja_N)
HEP_00219400	Pfam:PF00899.21(ThiF)
HEP_00019900	NA
HEP_00162400	Pfam:PF04756.13(OST3_OST6),Pfam:PF00085.20(Thioredoxin)
HEP_00144000	Pfam:PF00365.20(PFK)
HEP_00225700	Pfam:PF01765.19(RRF)
HEP_00078200	NA
HEP_00387300	NA
HEP_00282800	Pfam:PF01694.22(Rhomboid)
HEP_00014000	NA
HEP_00340600	NA
HEP_00369600	NA
HEP_00477600	Pfam:PF00085.20(Thioredoxin),Pfam:PF13848.6(Thioredoxin_6)
HEP_00362200	Pfam:PF01588.20(tRNA_bind)
HEP_00419000	Pfam:PF06454.11(DUF1084)
HEP_00153800	Pfam:PF01391.18(Collagen),Pfam:PF08772.11(NOB1_Zn_bind),Pfam:PF17146.4(PIN_6)
HEP_00205300	Pfam:PF01336.25(tRNA_anti-codon)
HEP_00425900	Pfam:PF00588.19(SpoU_methylase),Pfam:PF08032.12(SpoU_sub_bind)
HEP_00274700	NA
HEP_00457600	Pfam:PF00443.29(UCH),Pfam:PF02148.19(zf-UBP)
